Division,Panel Name,lastname,firstname,department,College  ,Rank,Award Amt,Award Title
Interdisciplinary,Women's Studies,Lopez,Iris,SOCIOLOGY,CITY COLLEGE,ASSCP,"$3,840.00",Sterile Choices: A Longitudinal Study of Puerto Rican Women and Sterilization.
Interdisciplinary,Women's Studies,Marcus,Jane,ENGLISH,CITY COLLEGE,DISTP,"$3,800.00","White Looks: Modernism, Primitivism and Nancy Cunard."
Interdisciplinary,Women's Studies,Martinez,Inez,ENGLISH,KINGSBOROUGH C. C.,PROF,"$3,840.00","Modeling Thinking Processes: Virginia Woolf in ""A Room of One's Own"""
Interdisciplinary,Women's Studies,Matos Rodriquez,Felix,PUERTO RICAN STUDIES,HUNTER COLLEGE,ASSCP,"$4,080.00",Translating Luisa Capetillo's Mi Opinion(1911) the first Puerto Rican Feminist Treatsie
Interdisciplinary,Women's Studies,Norgren,Jill,GOVERNMENT,JOHN JAY,PROF,"$3,840.00",A Voice Without A Vote: The Life of Belva Lockwood- A Juvenile Biography
Interdisciplinary,Women's Studies,Pita,Marianne,ENGLISH,BRONX C. C.,ASSTP,"$1,860.00",Looking at strong Heroines in Children's Adventure Literature Through Multiple Feminist Lenses
Interdisciplinary,Women's Studies,Ricourt,Milagros,LATIN AMERICAN STUDIES,LEHMAN COLLEGE,ASSTP,"$6,940.00",Dominican Women in the Diaspora
Interdisciplinary,Women's Studies,Rollyson,Carl,ENGLISH,BARUCH COLLEGE,PROF,"$4,400.00",TO Be A Woman: The Life of Jill Craigie
Interdisciplinary,Women's Studies,Rosner,Lydia,SOCIOLOGY,JOHN JAY,ASSCP,"$1,700.00",Daughters of the Women's Movement: An Examination of Mid-Career Migration
Interdisciplinary,Women's Studies,Rudden,Patricia,ENGLISH,NYC TECHNICAL COLLEGE,ASSTP,"$3,840.00",Vinyl Rounds: Laura Nyro's Discovery of Form
Interdisciplinary,Women's Studies,Silver,Catherine,SOCIOLOGY,BROOKLYN COLLEGE,PROF,"$3,840.00",Gender and the Discourse of Identity in Japan and the U.S..
Interdisciplinary,Women's Studies,Stanger,Carol,PROVOST,NYC TECHNICAL COLLEGE,OTHER,"$3,900.00",El Dorado
Interdisciplinary,Women's Studies,Walter,Judith,ENGLISH,NYC TECHNICAL COLLEGE,PROF,"$4,400.00","The Transatlantic Partnership in International Education of Virginia Gildesleeve and Caroline Spurgeon, 1918-1942"
Interdisciplinary,Women's Studies,Williams,Kathleen,HISTORY,BRONX C. C.,ASSCP,"$7,150.00",Amazing Grace: Rear Adm. Grace Murray Hopper and the Pursuit of innovation
Physical Sciences,Chemistry,Akins,Daniel L.,CHEMISTRY,CITY COLLEGE,PROF,"$3,567.00",Electron Transfer and Conformational Change.
Physical Sciences,Chemistry,Axenrod,Theodore,CHEMISTRY,CITY COLLEGE,PROF,"$3,314.00","High Energy-Density Gem- Difluoramino 1,5-Nitraminodiazacyclooctanes."
Physical Sciences,Chemistry,Bajue,Stanley,PHYSICAL SCIENCES,MEDGAR EVERS COLLEGE,ASSCP,"$3,470.00",Studies on Materials for Lithium Batteries and Fuel Cells
Physical Sciences,Chemistry,Balogh-Nair,Valeria,CHEMISTRY,CITY COLLEGE,PROF,"$3,470.00",Synthesis of anti-HIV agents
Physical Sciences,Chemistry,Bandosz,Teresa,CHEMISTRY,CITY COLLEGE,ASSTP,"$1,500.00",Sorption of Odoriferous Substances On Activated Carbons.
Physical Sciences,Chemistry,Batteas,James,CHEMISTRY,COLLEGE OF STATEN ISLAND,ASSTP,"$4,910.00",Molecular Tribiology studies of Silica Asperity -Asperity Contacts
Physical Sciences,Chemistry,Birke,Ronald,CHEMISTRY,CITY COLLEGE,PROF,"$3,470.00",Electrochemical Studies of Vitamin B12 Compounds
Physical Sciences,Chemistry,Brown,Pamela,PHYSICAL & BIOLOGICAL SCIENCES,NYC TECHNICAL COLLEGE,ASSTP,"$5,020.00",Vapor Analysis for Food Quality Assessment
Physical Sciences,Chemistry,Ciszkowska,Malgorzata,CHEMISTRY,BROOKLYN COLLEGE,ASSTP,"$4,325.00",Electroanalytical Characterization of Smart Polymeric Gels
Physical Sciences,Chemistry,Dannenberg,Joseph,CHEMISTRY,HUNTER COLLEGE,PROF,"$3,770.00",Theoretical Studies on Hydrogen Bond Acid/Base Catalysis
Physical Sciences,Chemistry,Drain,Charles Michael,CHEMISTRY,HUNTER COLLEGE,ASSCP,"$3,770.00",Combinatorial Chemistry of Porphyrins
Physical Sciences,Chemistry,Engel,Robert,CHEMISTRY & BIOCHEMISTRY,QUEENS COLLEGE,PROF,"$3,470.00",Nails with Phosphorus containing Anions and Cations
Physical Sciences,Chemistry,Francesconi,Lynn,CHEMISTRY,HUNTER COLLEGE,ASSCP,"$4,182.00",Towards Elucidating the Mechanism of Lanthanide Phosphomate & Carbooxylate Radiotherapeutic Bone Agents
Physical Sciences,Chemistry,Gafney,Harry,CHEMISTRY,QUEENS COLLEGE,PROF,"$3,770.00",Excited State Acid base Properties of Transition Metal Complexes
Physical Sciences,Chemistry,Green,Michael,CHEMISTRY,CITY COLLEGE,PROF,"$3,770.00",Ab initio Studies of Proton Transfer in Relation to Ion Channel gating
Physical Sciences,Chemistry,Greer,Alexander,CHEMISTRY,BROOKLYN COLLEGE,ASSTP,"$2,462.00",Novel and Interesting Mechanisms That Damage DNA.
Physical Sciences,Chemistry,Grohmann,Klaus,CHEMISTRY,HUNTER COLLEGE,PROF,"$3,770.00",13-Ethynl & 13 Phenylphenalenes Antiaromatic Hydrocarbons with unusually weak carbon  bonds
Physical Sciences,Chemistry,Hersh,William,CHEMISTRY & BIOCHEMISTRY,QUEENS COLLEGE,PROF,"$3,470.00",Phosphorylation of Thymidine
Physical Sciences,Chemistry,Jain,Duli C.,NATURAL SCIENCE,YORK COLLEGE,PROF,"$2,378.00",Study of the Salt Bridges Between Asp-Lys and Glu-Lys.
Physical Sciences,Chemistry,Jans,Urs,CHEMISTRY,CITY COLLEGE,ASSTP,"$4,600.00",Analysis and Formation Kinetics of Polysulfides in Natural Aqueous Environment
Physical Sciences,Chemistry,Karimi,Sasan,CHEMISTRY,QUEENSBOROUGH C. C.,ASSTP,"$4,325.00",An Approach Toward a Total Synthesis of Longifolene
Physical Sciences,Chemistry,Lakshman,Mahesh,CHEMISTRY,CITY COLLEGE,ASSTP,"$4,910.00",Development of a unified approach to nucleoside and DNA modification via palladium catalysis
Physical Sciences,Chemistry,Massa,Lou,CHEMISTRY,HUNTER COLLEGE,PROF,"$3,049.00",Quantal Density Functional Theory.
Physical Sciences,Chemistry,Meleties,Panayiotis,CHEMISTRY,BRONX C. C.,ASSTP,"$5,020.00",Synthesis of High Energy  Density  GEM  DIfluoramino and GEM Dinitro Substituted Cyclic N-Nitramine Propellents
Physical Sciences,Chemistry,Mills,Pamela,CHEMISTRY,HUNTER COLLEGE,ASSCP,"$3,370.00",Measuring scientific literacy among science students: a pre-test survey
Physical Sciences,Chemistry,Mirkin,Michael,CHEMISTRY & BIOCHEMISTRY,QUEENS COLLEGE,ASSCP,"$3,470.00",Probing Electron Transfer Reactions across Biological Membranes
Physical Sciences,Chemistry,Mootoo,David,CHEMISTRY,HUNTER COLLEGE,ASSCP,"$3,567.00",Synthetic Studies On Fused Polycyclic Ethers.
Physical Sciences,Chemistry,Polenova,Tatyana,CHEMISTRY,HUNTER COLLEGE,ASSCP,"$4,910.00",Solid State NMR of Half Integer Quadrupolar Metal Sites in Metalloproteins
Physical Sciences,Chemistry,Rothchild,Robert,SCIENCE/ENGINEERING,JOHN JAY,PROF,"$3,568.00",New Methods for Enantiomeric Excess Determination of Herbicides
Physical Sciences,Chemistry,Sapse,Anne-Marie,SCIENCE/ENGINEERING,JOHN JAY,PROF,"$1,000.00",Ab Initio and Density Functional Studies on Complexes.
Physical Sciences,Chemistry,Shew,Chwen-Yang,CHEMISTRY,COLLEGE OF STATEN ISLAND,ASSTP,"$3,580.00",Theoretical Studies of Static and Dynamic Properties Confined to External fields
Physical Sciences,Chemistry,Soll,Clifford,CHEMISTRY,HUNTER COLLEGE,OTHER,"$2,378.00",Developing Analytical Methods For the Analysis of C-Glycoside and Acetogenin Porphyrin.
Physical Sciences,Chemistry,Yang,Nan-Loh,CHEMISTRY,COLLEGE OF STATEN ISLAND,PROF,"$2,854.00","Syntheses Of Polymers with Novel Architectures via Co-Operative Systems of Living Ionic, Radical and Ring-Opening Metathesis Polymerizations."
Physical Sciences,Computer Science,Bellehsen,David,COMPUTER SCIENCE,NYC TECHNICAL COLLEGE,ASSCP,"$4,142.00",Distributed Queries of Large Numerical Data Sets
Physical Sciences,Computer Science,Dexter,Scott,COMPUTER SCIENCE,BROOKLYN COLLEGE,ASSTP,"$4,142.00",Access Granted: Demystifying Computer Security
Physical Sciences,Computer Science,Epstein,Susan,COMPUTER SCIENCE,HUNTER COLLEGE,PROF,"$3,314.00",Tactical Acquisition.
Physical Sciences,Computer Science,Friedman,Linda,COMPUTER SCIENCE,BARUCH COLLEGE,PROF,"$3,314.00",The Humor of Computer Science: An Ethnographic Study
Physical Sciences,Computer Science,Gellis,Harold,ACCOUNTING,YORK COLLEGE,ASSCP,"$3,314.00",Enhancing Jewish Identity Through the Internet
Physical Sciences,Computer Science,Georgatos,Konstantinos,MATHEMATICS,JOHN JAY,ASSTP,"$4,142.00",A Spatial Model of Relevance with Applications to Information Retrieval
Physical Sciences,Computer Science,Gertner,Izidor,COMPUTER SCIENCE,CITY COLLEGE,PROF,"$3,300.00",Distributed Image Fusion.
Physical Sciences,Computer Science,Gladkova,Irina,COMPUTER SCIENCE,CITY COLLEGE,ASSTP,"$4,142.00",Families of Waveforms with Good Auto and Cross Ambiguity Properties
Physical Sciences,Computer Science,Goldberg,Robert,COMPUTER SCIENCE,QUEENS COLLEGE,PROF,"$3,314.00",Determining the Domain of a Digital Curve
Physical Sciences,Computer Science,Gross,Ari,COMPUTER SCIENCE,QUEENS COLLEGE,ASSCP,"$3,314.00",Querying a Large Image Database for Objects in Real Time
Physical Sciences,Computer Science,Gueorguieva,Natacha,COMPUTER SCIENCE,COLLEGE OF STATEN ISLAND,ASSCP,"$4,142.00",Information Processing in the Olfactory Bulb: A Mathematical Model Neural Networks vs.Oscillators
Physical Sciences,Computer Science,Haralick,Robert,COMPUTER SCIENCE,GRADUATE SCHOOL,DISTP,"$3,314.00",Validation of Automatic Boundary Delineation Algorithms
Physical Sciences,Computer Science,Holowczak,Richard,COMPUTER SCIENCE,BARUCH COLLEGE,ASSTP,"$4,142.00",Data Warehouse Evolution to Support  Digital Libraries
Physical Sciences,Computer Science,Imberman,Susan,COMPUTER SCIENCE,COLLEGE OF STATEN ISLAND,ASSTP,"$4,142.00",Analysis of Clinical Pediatric Ophthalmology Data Using Intelligent Data Analysis
Physical Sciences,Computer Science,Kawaguchi,Akira,COMPUTER SCIENCE,CITY COLLEGE,ASSTP,"$4,142.00",Developing Divergence Control for Java Thread Environment
Physical Sciences,Computer Science,Kopec,Danny,COMPUTER SCIENCE,BROOKLYN COLLEGE,ASSCP,"$4,142.00",Diagnosis and Design of Complex Systems Software
Physical Sciences,Computer Science,Kumar,Devendra,COMPUTER SCIENCE,CITY COLLEGE,ASSCP,"$3,314.00",Corrections to Some Distributed Algorithms.
Physical Sciences,Computer Science,Lee,Yongjoon,COMPUTER SCIENCE,NYC TECHNICAL COLLEGE,ASSTP,"$4,142.00",Cache State Prediction Scheme: A New Way to Handle Cache coherence activities
Physical Sciences,Computer Science,Li,Xuhong,COMPUTER SCIENCE,CITY COLLEGE,ASSTP,"$4,142.00",Intelligent Document Understanding System
Physical Sciences,Computer Science,Mowshowitz,Abbe,COMPUTER SCIENCE,CITY COLLEGE,PROF,"$3,314.00",Bias In Information Retrieval Systems.
Physical Sciences,Computer Science,Pach,Janos,COMPUTER SCIENCE,CITY COLLEGE,PROF,"$3,314.00",Geometric Arrangements: Combinational Analysis and Algorithms
Physical Sciences,Computer Science,Pan,Victor,COMPUTER SCIENCE,LEHMAN COLLEGE,DISTP,"$3,314.00",Fundamental and Practical Algorithms for Computations with Martices and Polynomial
Physical Sciences,Computer Science,Phillips,Tsaiyun Ihsin,COMPUTER SCIENCE,QUEENS COLLEGE,PROF,"$3,314.00",From Image to XML Representation
Physical Sciences,Computer Science,Ravindran,Kaliappa,COMPUTER SCIENCE,CITY COLLEGE,ASSCP,"$3,314.00",Distributed Programming Models for Monitering of Critical System Properties
Physical Sciences,Computer Science,Raychaudhuri,Arundhati,MATHEMATICS,COLLEGE OF STATEN ISLAND,ASSCP,"$3,314.00",Distance-k labeling and k-th Powers of Graphs
Physical Sciences,Computer Science,Sakas,William,COMPUTER SCIENCE,HUNTER COLLEGE,ASSTP,"$4,142.00",Superparsing Natural Language Input
Physical Sciences,Computer Science,Salb,David,MATH & COMPUTER SCIENCE,KINGSBOROUGH C. C.,ASSCP,"$3,314.00",The Shadow of Influence in Program Modification
Physical Sciences,Computer Science,Shankar,Subash,COMPUTER SCIENCE,HUNTER COLLEGE,ASSTP,"$4,142.00",Formal Verification of Systems with Explicit Timing
Physical Sciences,Computer Science,Shapiro,Jacob,COMPUTER SCIENCE,BARUCH COLLEGE,PROF,"$3,314.00",A Heuristic for a scheduling problem with better bounds for ideal sets
Physical Sciences,Computer Science,St. John,Katherine,MATH & COMPUTER SCIENCE,LEHMAN COLLEGE,ASSCP,"$4,142.00",Random Trees: Applications and Theory
Physical Sciences,Computer Science,Tansel,Abdullah,COMPUTER SCIENCE,BARUCH COLLEGE,PROF,"$3,314.00",Discovery of Association Rules in Temporal Databases
Physical Sciences,Computer Science,Waxman,Jerry,COMPUTER SCIENCE,QUEENS COLLEGE,PROF,"$3,314.00",Fully Dynamic Algorithms for Level Graph Routing
Physical Sciences,Computer Science,Wolberg,George,COMPUTER SCIENCE,CITY COLLEGE,PROF,"$3,314.00",Robust Image Registration
Physical Sciences,Computer Science,Yanofsky,Noson,COMPUTER SCIENCE,BROOKLYN COLLEGE,ASSTP,"$4,142.00",Phase Transitions for Approximating SAT
Physical Sciences,Computer Science,Zachos,Stathis,COMPUTER SCIENCE,BROOKLYN COLLEGE,PROF,"$3,314.00",Secure Two-Player Games
Physical Sciences,Computer Science,Zamfirescu,Christina,COMPUTER SCIENCE,HUNTER COLLEGE,PROF,"$3,314.00","Algorithms Studying Hamiltonian Properties and Intersection Digraph Representations-Complexity and ""Neural"" Considerations."
Physical Sciences,Computer Science,Zhou,Neng-Fa,COMPUTER SCIENCE,BROOKLYN COLLEGE,ASSCP,"$4,142.00",A Constraint based Graphics Library and its Applications to Computer Science Education
Physical Sciences,Engineering,Agrawal,Anil,CIVIL ENGINEERING,CITY COLLEGE,ASSTP,"$4,142.00",An Adaptive Smart Tuned Mass Damper For Response Control of Wind-Excited Tall Buildings.
Physical Sciences,Engineering,Ahmed,Samir,ELECTRICAL ENGINEERING,CITY COLLEGE,PROF,"$3,314.00",Development and Evaluation of Colored PV Solar Panels
Physical Sciences,Engineering,Andreopoulous,Yiannis,MECHANICAL ENGINEERING,CITY COLLEGE,PROF,"$3,314.00",Experiments in Mach 6 compressible turbulence
Physical Sciences,Engineering,Ardebili,Mahmoud,SCIENCE/ENGINEERING,BOROUGH OF MANHATTAN C. C.,ASSTP,"$4,142.00",Alternatively Fueled Hybrid Electrical Vehicle.
Physical Sciences,Engineering,Basu,Mitra,ELECTRICAL ENGINEERING,CITY COLLEGE,ASSCP,"$3,314.00",Experiments with Projection Pursuit Learning Network.
Physical Sciences,Engineering,Chon,Ki,ELECTRICAL ENGINEERING,CITY COLLEGE,ASSTP,"$4,142.00",Developing Predictive Methods for Sudden Cardiac Death.
Physical Sciences,Engineering,Cowin,Stephen,MECHANICAL ENGINEERING,CITY COLLEGE,PROF,"$3,314.00",Detailed Models of Bone Fluid Pathways in Bone Tissue.
Physical Sciences,Engineering,Das,Satyaprakash,ENGINEERING,COLLEGE OF STATEN ISLAND,ASSCP,"$3,314.00",Mean Velocity Field In a Turbulent Flow Past a Cone With a Forward Facing Step.
Physical Sciences,Engineering,Delale,Feridun,MECHANICAL ENGINEERING,CITY COLLEGE,PROF,"$3,314.00",Thermomechanical Fracture of Functionally Graded Materials
Physical Sciences,Engineering,Diyamandoglu,Vasil,CIVIL ENGINEERING,CITY COLLEGE,ASSTP,"$3,314.00",Simultaneous decomposition of chlorate and bromate in aquaeous solutions under UV (254nm) Irradiation
Physical Sciences,Engineering,Dorsinville,Roger,ELECTRICAL ENGINEERING,CITY COLLEGE,PROF,"$3,314.00",Propagation of ultra short pulses in nonlinear photonic crystals
Physical Sciences,Engineering,Fritton,Susannah,MECHANICAL ENGINEERING,CITY COLLEGE,ASSTP,"$4,142.00",Poroelastic Finite Element Modeling of Bone
Physical Sciences,Engineering,Ghosn,Michel,CIVIL ENGINEERING,CITY COLLEGE,PROF,"$3,314.00",Reliability of Bridges Under the Combination of Natural and Man Made Hazards.
Physical Sciences,Engineering,Gilchrist,M. Lane,CHEMICAL ENGINEERING,CITY COLLEGE,ASSTP,"$4,142.00",The Development of Microbial gas Vesicles as a Bioengineering Material
Physical Sciences,Engineering,Gross,Barry,ELECTRICAL ENGINEERING,CITY COLLEGE,ASSTP,"$3,314.00",Multiangle LIDAR
Physical Sciences,Engineering,Ho,Ping-Pei,ELECTRICAL ENGINEERING,CITY COLLEGE,PROF,"$3,314.00",Detection of metal corrosion beneath paints using time resolved parametric amplification gate
Physical Sciences,Engineering,Isaacs,Leslie,CHEMICAL ENGINEERING,CITY COLLEGE,PROF,"$3,314.00",Preparation of sub-micron and micron size optical composites
Physical Sciences,Engineering,Jiji,Latif,MECHANICAL ENGINEERING,CITY COLLEGE,PROF,"$3,314.00",Modeling Heat Transfer in Micro Heat Exchangers
Physical Sciences,Engineering,Khanbilvardi,Reza,CIVIL ENGINEERING,CITY COLLEGE,PROF,"$3,314.00",Modeling Leachate Flow in Landfill
Physical Sciences,Engineering,Liaw,Benjamin,MECHANICAL ENGINEERING,CITY COLLEGE,PROF,"$3,314.00",Impact Resistance in Woven /3-D Polymer Matrix Composites at Various Temperatures.
Physical Sciences,Engineering,Moshary,Fred,ELECTRICAL ENGINEERING,CITY COLLEGE,ASSCP,"$3,314.00",Induced Interference between multi photon excited states in an accumulated grating
Physical Sciences,Engineering,Mylonakis,George,CIVIL ENGINEERING,CITY COLLEGE,ASSTP,"$4,142.00",Development of Liquefaction Criterion for Near Source Loading Conditions
Physical Sciences,Engineering,Nguyen,Truong-Thao,ELECTRICAL ENGINEERING,CITY COLLEGE,ASSCP,"$4,142.00",New Approach to one bit  nth order    modulation: analysis and design
Physical Sciences,Engineering,Price,Thomas,CIVIL ENGINEERING,CITY COLLEGE,ASSTP,"$4,142.00",Computational Model of Vibration Transmission in Long Floor Systems
Physical Sciences,Engineering,Rizvi,Syed,ENGINEERING,COLLEGE OF STATEN ISLAND,ASSTP,"$4,142.00",Multi-Stage Topological Feature Extraction For Automatic Target Recognition of Cluttered FLIR Imagery.
Physical Sciences,Engineering,Ro,Kyoung,CIVIL ENGINEERING,CITY COLLEGE,ASSCP,"$4,142.00",Development of Multi-Purpose Respirometer Virtual System (MPRVS) For Wastewater Nitrification Kinetic Study.
Physical Sciences,Engineering,Sadegh,Ali,MECHANICAL ENGINEERING,CITY COLLEGE,PROF,"$3,314.00",Pressurized woven fabric beams: micromechanics
Physical Sciences,Engineering,Steiner,Carol,ENGINEERING,CITY COLLEGE,PROF,"$3,314.00",Hydrogels for the Targeted Delivery of Immunothezapeutic  Agents in the Treatment of Bladder Cancer.
Physical Sciences,Engineering,Sun,Yi,ELECTRICAL ENGINEERING,CITY COLLEGE,ASSTP,"$4,142.00",Two Families of likelihood ascent search multiuser detectors for CDMA communications
Physical Sciences,Engineering,Vemuru,Srinivasa,ELECTRICAL ENGINEERING,CITY COLLEGE,ASSTP,"$3,314.00",Clock distribution using RF interconnect method for low power applications
Physical Sciences,Engineering,Walser,Ardie,ELECTRICAL ENGINEERING,CITY COLLEGE,ASSCP,"$3,314.00",Two Photon Absorption in Harmonic Crystals
Physical Sciences,Engineering,Zhang,Shuqun,COMPUTER SCIENCE,COLLEGE OF STATEN ISLAND,ASSTP,"$4,142.00",Particle sizing based on joint transfer correlator and distance transform
Physical Sciences,Mathematics,Agwu,Nkechi,MATHEMATICS,BOROUGH OF MANHATTAN C. C.,ASSCP,"$4,142.00",Okwe- A Model of Igbo Ethnomathematics
Physical Sciences,Mathematics,Apter,Arthur,MATHEMATICS,BARUCH COLLEGE,PROF,"$2,000.00",Inner Model and Related Results via Forcing: A Study in Strong Compactness and Supercompactness
Physical Sciences,Mathematics,Boccio,Dona,MATH & COMPUTER SCIENCE,QUEENSBOROUGH C. C.,PROF,"$3,840.00",Modeling Atmospheric Pressure on Mars
Physical Sciences,Mathematics,Cleary,Sean,MATHEMATICS,CITY COLLEGE,ASSTP,"$4,142.00",Metric Properties of Thompson's Groups
Physical Sciences,Mathematics,Foldes,Antonia,MATHEMATICS,COLLEGE OF STATEN ISLAND,PROF,"$2,742.00",Topics in Strong Approximation.
Physical Sciences,Mathematics,Franzblau,Deborah,MATHEMATICS,COLLEGE OF STATEN ISLAND,ASSTP,"$4,142.00",Generalization of Set Covering
Physical Sciences,Mathematics,Gardiner,Frederick P.,MATHEMATICS,BROOKLYN COLLEGE,PROF,"$3,209.00",Applications of Analysis to Dynamical Systems.
Physical Sciences,Mathematics,Goodman,Jacob,MATHEMATICS,CITY COLLEGE,PROF,"$3,209.00",Problems in Discrete Geometry
Physical Sciences,Mathematics,Hamkins,Joel David,MATHEMATICS,COLLEGE OF STATEN ISLAND,ASSCP,"$4,409.00",Research in Large Cardinal Set Theory
Physical Sciences,Mathematics,Hrbacek,Karel,MATHEMATICS,CITY COLLEGE,PROF,"$3,209.00",Relativization in nonstandard set theory
Physical Sciences,Mathematics,Hu,Jun,MATHEMATICS,BROOKLYN COLLEGE,ASSTP,"$4,142.00",Comples Bounds of Infinitely Renormalizable Multimodal Real Polynomials with inflection critical points
Physical Sciences,Mathematics,Huntley,Jonathan,MATHEMATICS,BARUCH COLLEGE,ASSCP,"$3,209.00","Automorphic Forms, Small & Large Eigenvalues."
Physical Sciences,Mathematics,Itzkowitz,Gerald,MATHEMATICS,QUEENS COLLEGE,PROF,"$2,000.00",Characterization of Balance of Topological Groups
Physical Sciences,Mathematics,Jiang,Yunping,MATHEMATICS,QUEENS COLLEGE,ASSCP,"$3,209.00",Research in Thermodynamical Formalism and Related Topics.
Physical Sciences,Mathematics,Jordan,Bruce,MATHEMATICS,BARUCH COLLEGE,PROF,"$3,209.00",Shimura Curves over totally real fields
Physical Sciences,Mathematics,Jorgenson,Jay,MATHEMATICS,CITY COLLEGE,ASSCP,"$5,342.00",Heat kernels and number theory on quotients of symmetric spaces
Physical Sciences,Mathematics,Karp,Leon,MATH & COMPUTER SCIENCE,LEHMAN COLLEGE,PROF,"$4,439.00",Problems in Geometric Analysis
Physical Sciences,Mathematics,Keen,Linda,MATH & COMPUTER SCIENCE,LEHMAN COLLEGE,PROF,"$5,099.00",Research in Complex Dynamics and Kleinian Groups
Physical Sciences,Mathematics,Kheyfits,Alexander,MATH & COMPUTER SCIENCE,BRONX C. C.,ASSTP,"$4,142.00",Generalized subharmonic functions of completely regular growth. II The cos -theorem for generalized subharmonic functions
Physical Sciences,Mathematics,Kopperman,Ralph,MATHEMATICS,CITY COLLEGE,PROF,"$2,742.00",Asymmetric Topology:Theory and Applications.
Physical Sciences,Mathematics,Kossak,Roman,MATH & COMPUTER SCIENCE,BRONX C. C.,PROF,"$3,840.00",Structure of Nonstandard Models of Arithmetic
Physical Sciences,Mathematics,Kramer,Kenneth,MATHEMATICS,QUEENS COLLEGE,PROF,"$3,209.00",Studies on the Arithmetic of Jacobian Varieties.
Physical Sciences,Mathematics,Lakic,Nikola,MATH & COMPUTER SCIENCE,LEHMAN COLLEGE,ASSTP,"$4,592.00",Earthquakes and Circle Homeomorphisms
Physical Sciences,Mathematics,Maller,Michael,MATHEMATICS,QUEENS COLLEGE,ASSCP,"$3,209.00",Investigations in p-adic complexity theory
Physical Sciences,Mathematics,Marcus,Michael,MATHEMATICS,CITY COLLEGE,PROF,"$3,209.00","Levy Processes, Gaussian Processes & Local Times."
Physical Sciences,Mathematics,McInerney,Andrew,MATH & COMPUTER SCIENCE,BRONX C. C.,ASSCP,"$4,142.00",Some Interesting Subgroups of the  Group of Contact Diffeomorphisms
Physical Sciences,Mathematics,Moreno,Carlos,MATHEMATICS,BARUCH COLLEGE,PROF,"$3,209.00",Zeta & L-Functions of Singular Curves.
Physical Sciences,Mathematics,Nathanson,Melvyn,MATHEMATICS,LEHMAN COLLEGE,PROF,"$3,209.00",Additive Number Theory.
Physical Sciences,Mathematics,Peluso,Ada,MATHEMATICS,HUNTER COLLEGE,PROF,"$3,209.00",One-Relator Groups with Zero Divisors
Physical Sciences,Mathematics,Psarelli,Maria,MATH & COMPUTER SCIENCE,BRONX C. C.,ASSTP,"$4,142.00",Asymptotic Behavior of Maxwell-Klein-Gordon Equations in the large
Physical Sciences,Mathematics,Ralescu,Stefan,MATHEMATICS,QUEENS COLLEGE,PROF,"$3,209.00",Nearest Neighbor Estimation of Poisson Intensity Function and Stein Estimation.
Physical Sciences,Mathematics,Roitberg,Joseph,MATHEMATICS,HUNTER COLLEGE,PROF,"$3,209.00",The Product formula for Lusternik-Schnirelmann category
Physical Sciences,Mathematics,Rosen,Jay,MATHEMATICS,COLLEGE OF STATEN ISLAND,PROF,"$3,209.00",Research on Stochastic Processes.
Physical Sciences,Mathematics,Sheingorn,Mark,MATHEMATICS,BARUCH COLLEGE,PROF,"$3,209.00",Quadratic Aspects of the Markoff Spectrum in
Physical Sciences,Mathematics,Shell,Niel,MATHEMATICS,CITY COLLEGE,PROF,"$2,000.00",Generalization of Topologies of Marcos
Physical Sciences,Mathematics,Shpilrain,Vladimir,MATHEMATICS,CITY COLLEGE,ASSCP,"$4,142.00",Measuring sets in infinite groups
Physical Sciences,Mathematics,Sibner,Robert,MATHEMATICS,BROOKLYN COLLEGE,PROF,"$3,209.00",Gauge Field Singularities
Physical Sciences,Mathematics,Stefanica,Dan,MATHEMATICS,BARUCH COLLEGE,ASSTP,"$4,142.00",FETI Method for Spectral Elements
Physical Sciences,Mathematics,Stein,Gregory,MATHEMATICS,NYC TECHNICAL COLLEGE,ASSTP,"$4,142.00",Constructing Idempotents in Berlekamp sub-algbras
Physical Sciences,Mathematics,Stone,David,MATHEMATICS,BROOKLYN COLLEGE,PROF,"$4,536.00",Combinatorial Graph Moduli Spaces.
Physical Sciences,Mathematics,Tehrani,Hessam,MATHEMATICS,BRONX C. C.,ASSTP,"$4,142.00",Complexity Problems and representations of mapping class groups
Physical Sciences,Mathematics,Tepper,David,MATHEMATICS,BARUCH COLLEGE,PROF,"$3,209.00",Problems in Complex Analysis and Analysis of Invariant Differential Operators
Physical Sciences,Mathematics,Thompson,Robert,MATHEMATICS,HUNTER COLLEGE,ASSCP,"$3,209.00",Completions With Respect to Generalized Homology.
Physical Sciences,Mathematics,Verzani,John,MATHEMATICS,COLLEGE OF STATEN ISLAND,ASSTP,"$4,592.00",Research in Brownian superprocess properties
Physical Sciences,Mathematics,Weaver,Anthony,MATH & COMPUTER SCIENCE,BRONX C. C.,ASSTP,"$4,142.00",Automorphisms of Riemann Surfaces
Physical Sciences,Mathematics,Wieschenberg,Agnes,MATHEMATICS,JOHN JAY,ASSCP,"$2,000.00",Episodes in 20th Century Mathematics- The Coffee Connection
Physical Sciences,Physics,Alfano,Robert,PHYSICS,CITY COLLEGE,DISTP,"$3,314.00",High Power Cunyite Laser for Tissue Welding Applications.
